"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"Q15831;Q15831-2","+","","",1.69,-1.24,0.44
"Q9Y6E0-2;B4DR80;E9PCB9;F5H2G3;H0Y630;Q5JV98","+","+","",-0.35,0.6,0.24
"B3KYA7;Q13188","","","+",0.18,0.65,0.83
"Q9Y2H1;F5GY51","","+","+",-0.12,0.71,0.58
"Q13043;Q13043-2;F5H5B4","","+","",-0.37,0.61,0.24
"Q9UJZ1;B4E1K7","+","","+",1.26,-0.18,1.08
"B4DNJ6;Q9Y3F4;B0AZV0","","+","+",-0.11,0.75,0.63
"Q96SI9;Q96SI9-2","","+","+",0.27,0.65,0.92
"O43815;Q3B874;O43815-2","+","","",0.47,-0.27,0.19
"Q13033;Q13033-2","","+","",-0.01,-0.65,-0.66
"P08842","+","","",-1.19,0.32,-0.87
"O60499;Q5U8S2;O60499-2","","+","",-0.83,1.43,0.6
"E9PBB7;Q86Y82;B1AJQ6","+","","+",-0.84,-0.23,-1.07
"O14662-2;G8JLE0;Q6GMS8;C9K0W8;O14662-4;Q96NX8","+","+","",-1.61,1.69,0.09
"Q9P2W9;D6RF48;D6RD65;D6RC71","","+","",0.03,-0.62,-0.59
"P32856;P32856-2;P32856-3","+","","",-1.34,0.8,-0.54
"Q13277;B4DME0;F8W9Y0;Q13277-2;E7ET77","","+","+",-0.06,1.1,1.04
"Q12846;A8MXY0","+","","",0.65,-0.73,-0.08
"Q13190;F8W8Q9;Q13190-2;Q13190-3;E9PNU4;B4DKR0","+","+","+",-0.38,-0.56,-0.94
"E7EQD5;Q15833;Q15833-2;F5GXG3","+","+","",-0.66,0.88,0.22
"O00186","+","+","",0.47,-0.54,-0.07
"Q5T5C0-2;Q5T5C0;Q5T5C0-3","","+","",0.06,-0.83,-0.77
"Q8NFX7;Q8NFX7-2","+","+","",1.69,-2.22,-0.53
"Q96I99;Q96I99-2;E9PDQ8;F5H4S7","+","","+",-0.56,-0.61,-1.17
"Q8IWZ8","+","","",0.45,0.07,0.52
"Q9Y2Z0-2;F5H5A9","","","+",0.41,0.32,0.73
"P50225","+","","+",-2.01,-0.48,-2.49
"P50224;P50224-2","+","","+",-1.22,-0.32,-1.54
"O43704;D6RD70","+","+","+",-0.48,-2.52,-3.01
"B4DLP0;O00338-2;O00338;B8ZZF7","+","","",1.76,-0.83,0.93
"O00204;O00204-2","+","","+",1.39,1.26,2.65
"Q8NBK3;E9PGL0;Q8NBK3-2;F5GXF1;F5GXA0;Q8NBK3-3;G5E9B0;E9PF05","+","","+",0.77,-0.07,0.7
"Q9Y5B9","+","","+",1.14,-0.22,0.92
"O00267;B4DJK4","+","","+",0.53,0.17,0.69
"Q7KZ85","+","","+",0.95,0.15,1.1
"Q8IYB8","+","","",0.88,-0.4,0.48
"Q15526;Q15526-2","+","","",0.61,-0.08,0.53
"O15260;Q5T8U7;Q5T8U5;O15260-2;B7Z7A8;F5H7X6;B7Z6A4","","+","",-1.36,1.8,0.44
"O75683","+","","+",1.43,-0.32,1.11
"Q9H5I1;Q9H5I1-2;Q9H5I1-3;H0Y306","","","+",0.36,0.71,1.08
"Q15022","","+","+",0.51,1.16,1.67
"O95425;O95425-2","","+","",0.3,-0.79,-0.49
"Q9UH65;E7EMB1","+","+","",0.82,-1.05,-0.23
"Q96A49","+","","",-0.68,0.6,-0.08
"O95926","+","","",0.61,0.01,0.62
"P43405;P43405-2","+","","",0.32,-0.04,0.29
"Q92797","","+","+",0.27,0.51,0.79
"O60506;O60506-2","","","+",0.32,0.47,0.8
"E9PEL9;E7EQI5;Q8NF91;Q8NF91-4;E7ENN3;Q8NF91-2;Q8NF91-8","+","+","",-0.33,0.51,0.19
"Q8WXH0-2;Q8WXH0;F8WAA3;G3V5X4;Q8WXH0-7","+","+","",0.83,-1,-0.18
"P57105","+","","+",-0.9,-0.32,-1.22
"O15061;O15061-2;H0YL34","+","+","",-2.75,1.37,-1.39
"Q9UMS6-2;H0Y9Y3;Q9UMS6-3","","+","",-0.35,-1.22,-1.57
"Q9HCH5-13;Q9HCH5;Q9HCH5-6;Q9HCH5-15","","+","+",-0.21,-2.72,-2.93
"Q96C24;F8W9B9;Q96C24-2","+","","+",-1.35,-0.81,-2.16
"O75410-2;O75410;G8JLK4;O75410-7;O75410-6","","+","",0.39,-0.84,-0.45
"O95359-3;O95359;E9PBC6;E7EMZ9","+","+","",0.68,-0.87,-0.19
"Q9Y6A5","","+","+",-0.11,1.45,1.34
"Q9BSH4","+","","",-0.52,0.37,-0.16
"P09758","+","","",1.91,-1.09,0.82
"Q86TJ2;Q86TJ2-2;Q86TJ2-3","+","","",1.22,-1.21,0.02
"O75528;O75528-2","+","","",1.14,-0.51,0.63
"Q12962","","","+",0.26,0.62,0.88
"Q15545","+","","",0.73,-0.02,0.71
"Q01995;H0YCU9;E9PC82","+","","+",-1.71,0.3,-1.4
"P37802","","+","",-0.27,0.67,0.4
"Q9UI15;F5H0F3;C9J5W6","+","","",-2.64,1.87,-0.77
"P37837;F2Z393","+","+","",-0.33,0.56,0.23
"C9J2U4;Q96BW9;B4DIY7","+","","",1.69,-0.49,1.2
"Q9C0D5;Q9C0D5-2","+","","",0.88,-0.42,0.45
"Q5HY71;Q03519;E7ENX8;E7EUZ6;E7EQ98;Q03519-2","+","+","",-0.74,1.03,0.29
"Q13148-2;Q13148;G3V162;B1AKP7;B4DJ45","","+","",-0.17,0.66,0.49
"P26639;B4DEG8;G3XAN9","","+","+",-0.33,0.88,0.55
"Q9BW92;Q9H9V2;E7EVR9;Q5T5E9","+","","+",1.05,-0.17,0.88
"Q6P1N9;E5RG17;G5EA19;H0YBX2","+","","+",0.7,-0.01,0.69
"G3V151;Q17R31;Q17R31-2;E9PJE5;E9PNH3;E9PP81;H0YCC7","","","+",-0.62,-0.76,-1.39
"B8ZZD4;Q86VP1;Q86VP1-2;E7ENV2;Q86VP1-3","+","+","",1.14,-1.1,0.04
"Q9HA65;F5H1W7","","+","+",-0.09,-0.74,-0.83
"Q9BYX2;Q9BYX2-2;Q9BYX2-3;Q9BYX2-5","+","+","",1.68,-1.58,0.1
"Q8WUA7;B0QYI3;B0QYI1;Q8WUA7-2;Q8WUA7-3","+","","",-1.03,0.31,-0.72
"O60343;O60343-3;O60343-2","+","","+",0.86,0.47,1.33
"Q0IIM8","","+","",-0.09,-0.5,-0.59
"Q66K14;Q66K14-2","+","","",0.53,-0.15,0.38
"O75347;E5RJD8;E5RIW3;B4DT30;E5RIX8","+","","",0.53,0.11,0.64
"Q99426;A8MVD5","+","","",0.64,0.13,0.76
"Q8TEA7;Q8TEA7-3;Q8TEA7-2","","+","",0.56,-0.92,-0.36
"Q12788","+","","+",1.14,0.3,1.44
"Q8N9U0;Q8N9U0-2","+","+","+",-0.84,-1.01,-1.85
"P23193;P23193-2","+","","+",0.74,-0.09,0.65
"O75764","+","+","+",0.56,-2.12,-1.57
"Q15170-2;Q15170;F5GWE0","+","+","",-1.34,2.23,0.88
"Q969E4;Q6IPX3","+","","+",-2.75,0.69,-2.06
"Q96EI5-2;Q96EI5;D6RD44;D6RCE9","","+","+",0.51,0.94,1.44
"Q15369;E5RHG8;E5RGD9;E5RJ89","","+","",0,0.58,0.57
"Q15370;B7WPD3;B8ZZU8","+","+","+",-0.69,1.08,0.39
"Q14241","","+","",0.53,-1.15,-0.62
"O14776;O14776-2;G3V220","+","","+",0.56,0.06,0.61
"Q9UGU0;Q9UGU0-2","+","","+",2.02,-0.69,1.33
"P15923;Q2TB39;P15923-2","","","+",0.29,0.71,1
"Q13488;E9PM12;E9PMC5","+","","",-1.11,0.68,-0.43
"E9PHK9;Q13428-4;Q13428-3;Q13428;Q13428-8;Q13428-2;Q13428-5","+","+","+",0.55,1.11,1.66
"P17987;E7ERF2;E7EQR6;F5H282","","+","+",0.15,0.48,0.63
"Q9H7E2-3;Q9H7E2;Q9H7E2-2","+","","",0.7,-0.53,0.18
"Q8NHU6;Q8NHU6-2","+","","",0.92,-0.4,0.51
"C9J024;Q7Z6L1-2;Q7Z6L1","","","+",-1.41,-0.71,-2.12
"Q9NZ01;B3KSQ1","+","","",-0.5,0.4,-0.1
"Q96QE5;B4DPU1;Q96QE5-4","","","+",0.51,0.5,1.01
"Q9Y4R8","+","+","+",0.94,1.07,2.01
"Q99973;Q99973-2;E7EQE3;G3V5X7;G3V2A4;G3V470","","+","+",-0.06,-1.58,-1.64
"Q96BS2;F5H1Y5;Q96BS2-2;E9PQ58","","+","+",1.07,2.88,3.94
"Q9NXF1;B4DYV2;E7ERG2","+","","",0.8,-0.16,0.64
"Q9Y6I9;C9JHH5;C9JXQ7","","+","",-0.08,0.4,0.31
"Q00059;A8MRB2","+","","",0.64,-0.36,0.28
"Q8WVM0","+","","",0.94,-0.12,0.83
"Q9H5Q4","","+","+",0.09,1.17,1.26
"E9PBB5;Q07654","","","+",-1.13,-1.81,-2.93
"Q9UBB9;E7EMD1","+","+","+",1.55,-0.81,0.75
"P02786;G3V0E5;F5H6B1","","+","+",-0.07,1.78,1.71
"Q15582;G8JLA8;B9ZVW9;H0Y8L3","+","","+",1.05,0.05,1.11
"P22735;B4DWR7","+","+","",-1.89,1.83,-0.07
"P21980;B4DIT7;F5H6P0;P21980-2","","+","",-0.22,1.08,0.86
"Q08188;E7ERY7","+","+","",-1.69,1.66,-0.02
"O43493;F8WBK2;O43493-3;O43493-5;O43493-2;O43493-4;F8W8W7;O43493-6","+","","",-1.41,0.57,-0.84
"Q96RS0","","","+",1.34,0.09,1.42
"Q8IXH7;Q8IXH7-4","+","","+",1.47,-0.28,1.18
"Q8WY91;Q8WY91-2","+","+","",1.71,-2.54,-0.83
"Q5TEJ8;Q5TEJ8-5;Q5TEJ8-3;Q5TEJ8-6","+","","+",-0.98,-0.09,-1.07
"Q8IYQ7","+","+","",1.24,-1.01,0.24
"Q96FV9","+","","+",1.1,-0.18,0.92
"Q8NI27","+","","+",1.05,0.05,1.1
"Q96J01;F5H5J7;Q6NZ53","","+","+",0.13,0.69,0.82
"Q13769;F8WCP5;C9JXG5","+","","",1.53,-0.3,1.24
"Q86W42;Q86W42-2;Q86W42-3","+","","+",0.87,0.35,1.21
"Q6I9Y2;B5MDZ2","+","","",0.81,-0.35,0.46
"P52888","","+","+",0.34,0.87,1.21
"Q9Y2W1","+","","",1.3,-0.71,0.59
"Q6ZMP0;B4DR13","","+","+",0.41,-1.73,-1.32
"Q9NXG2","+","+","",-0.69,0.92,0.23
"Q9BV44","","","+",0.21,0.28,0.5
"H0YGW6;P31483;F8W8I6;Q96B58;E5RGV5;E5RG67","","","+",0.86,0.74,1.6
"Q9UNS1;Q9UNS1-2;E7EWS5","+","","+",1.05,0.66,1.71
"Q9Y5L4","","+","",-0.39,1.02,0.63
"O60830","+","","",1.21,-0.15,1.06
"Q9BVV7","+","+","",0.88,-1.51,-0.63
"Q3ZCQ8-2;Q3ZCQ8;Q330K1","+","","",0.86,0.06,0.92
"Q9Y5J7;G3V502;G3V2F3","+","+","",0.76,-0.57,0.19
"P01033;Q5H9A7;H0Y789","","","+",0.17,1.5,1.67
"Q9GZM7;B4DPK6;B4DVG5","","+","",0.07,-1.23,-1.17
"Q5JTD0;Q5JTD0-2;Q5JTD0-4","","","+",0.93,-0.08,0.85
"G3V1L9;Q07157;H0Y3R8;Q07157-2","+","","",1.15,-0.38,0.77
"F5H301;Q9UDY2;Q9UDY2-3;F5H886;Q9UDY2-2;Q9UDY2-4;Q9UDY2-5","+","","+",1.09,-0.14,0.96
"P04183","","+","+",0.2,2.34,2.54
"Q9Y4G6;H0YMT1","","+","+",0.11,-1.48,-1.37
"O15455;F5H833;E9PGH4","","","+",-0.1,-0.95,-1.05
"E9PSI1","+","+","",1.05,-1.35,-0.29
"Q99805;E9PHW5","","+","+",-0.05,-0.96,-1.01
"Q9HD45","","","+",-0.22,-0.57,-0.78
"Q9UM00;C9JX01;Q9UM00-2","","+","",-0.21,1.29,1.08
"Q9C0B7","+","","",1.09,0.22,1.31
"P49755","","+","+",-0.21,-0.45,-0.66
"Q15363;B4DP27;F5GX39;E7EQ72;F6QWA0","+","","+",-1.04,0.26,-0.78
"Q9Y3Q3","","+","+",-0.37,-0.91,-1.28
"Q7Z7H5;Q7Z7H5-3;C9JUN6;Q7Z7H5-2;F8W7F7","+","+","",-1.25,0.89,-0.36
"Q9Y3A6;F5H307;B1AKT3","+","","+",-0.78,0.03,-0.75
"Q9Y3B3","+","","+",-0.78,0.03,-0.75
"Q9BVK6","+","","",-1.17,0.7,-0.47
"Q9BVC6;E7ETZ3","+","+","",-1.24,1.37,0.13
"Q4V9L6;E9PFT9","","+","+",0.35,-2.72,-2.37
"Q9H6X4;Q9H6X4-3;Q9H6X4-2;F5H1I9;G3V1M5;B4E0E3;B4DLG6","","+","",0.66,-1.79,-1.12
"Q9BVK8;A8MU21;A8MWW0","","+","",-0.63,1.32,0.68
"Q9NX00","","+","",-0.6,1.44,0.85
"Q9HC07","+","","",1.09,-1.03,0.06
"Q9H0V1;B4DDS0","","+","+",0.16,-2.14,-1.98
"Q3YBM2;E9PAV4","+","","",-0.95,0.76,-0.19
"E9PBQ3;Q8N511;A8MWJ6","","+","",-1.07,1.94,0.87
"Q9UHN6;Q9UHN6-2;B4E1B9","+","","+",1.59,-0.56,1.04
"Q3MIR4","+","","+",-1.66,-0.95,-2.61
"P57088;D6RAA6","+","","",-2.33,1.82,-0.5
"Q5BJD5;E9PJ42;Q5BJD5-2;E9PP29","","","+",0.37,1.39,1.75
"Q9BTX1;Q9BTX1-2;G3XA81;B4DZG6;Q9BTX1-4","+","","+",1.44,-0.27,1.17
"Q86T03-2;Q86T03","+","","",0.88,-0.22,0.66
"Q5T3F8;Q5T3F8-3;Q5T3F8-2","+","","",-1.16,0.49,-0.66
"Q5BJF2","","+","+",-0.49,2,1.51
"P82094-2;P82094;E9PGE8;F8WF45","","+","",0.51,-1.17,-0.66
"Q9NYL9;H0YNJ8;H0YKU1","","+","+",0.36,-0.85,-0.49
"P42166","+","","+",0.66,0.38,1.04
"P42167","+","","+",0.72,-0.1,0.62
"P63313","","+","",0.81,-0.87,-0.06
"P62328;A8MW06;Q5T4B6","","+","",0.66,-1.21,-0.55
"Q9Y320;Q9Y320-2;B5MD66","+","","",-0.93,0.45,-0.48
"P24821;P24821-4;E9PC84;P24821-3;F5H7V9;P24821-2;P24821-5","+","","+",2.19,-0.67,1.51
"O14763;O14763-2;B7Z588","+","","+",1.58,0.68,2.26
"Q9UKE5;Q9UKE5-2;Q9UKE5-4;F5H865;Q9UKE5-6","","+","",0.37,-1.32,-0.96
"Q8NFZ5;D6RGJ2;Q8NFZ5-2","+","","",1,-0.25,0.75
"Q9C0C2;Q9C0C2-2","+","+","",0.94,-1.34,-0.4
"Q92973;Q92973-2;Q92973-3","","+","+",-0.12,0.65,0.53
"Q9Y5L0;Q9Y5L0-3;B5MD86;C9J7E5;Q9Y5L0-1;C9IZM0;E9PFH4","","","+",0.59,0.77,1.36
"O15417;O15417-2;C9JS29;A8MSW5","","","+",1.3,0.34,1.65
"Q9HBL0;E9PF55;E9PGF5;Q59G71","","","+",-0.93,-0.41,-1.33
"Q8IZW8","+","","+",1.64,0.61,2.25
"E7EPZ9;E7EPQ1;E7EU03;E7EWZ8;P22105-3;P22105;B0UYX3;B0V046;G5E9A9;H0Y3W5;B0UYQ5;E7EW42;H0Y6M7","","+","+",-0.09,-1.94,-2.03
"Q6ZVM7;B7Z2L7;Q6ZVM7-3;Q6ZVM7-2;B7Z2U2;F5H3S6;F5GXH5","","","+",-0.19,-0.58,-0.77
"Q15785;Q6ZPD0","","+","+",0.77,1.3,2.07
"P11387","","+","+",0.02,1.95,1.97
"P11388-4;C9J5P2;P11388-3;P11388-2;P11388;C9J4C3","","+","+",0.29,2.38,2.67
"Q02880;Q02880-2;E9PCY5","+","","+",0.72,0.2,0.92
"Q13472;Q13472-2;B4DK80","+","","",2.17,-1.25,0.92
"Q92547","+","","+",1.18,0.33,1.51
"Q5JTV8;E9PD36;H0Y4R4","+","","",0.81,-0.15,0.66
"O15405;B4DRD0","+","","",-0.99,0.83,-0.16
"Q12888-2;F8VY86;Q12888;A6NNK5","+","","",0.5,-0.12,0.38
"E9PPM1;O14683;E9PKZ4;E9PIK4;E9PIN5;E9PQ46;E9PMW4;E9PS55;E9PKN9;E9PN66;E9PMY0;E9PNB3","","+","+",-0.2,-1,-1.2
"Q53FA7;Q53FA7-2","+","","+",-0.85,-0.3,-1.14
"F5H0B0","+","+","+",-0.59,-0.5,-1.09
"Q16890;E9PPQ1;F6V707;E9PNK6;Q16890-2;Q16890-3;Q16890-4;E9PNQ9","","","+",0.47,0.87,1.35
"Q5JWU6;Q5U0E0;O43399","","+","+",-0.23,0.93,0.7
"Q9H3S4;F5GZG6;F8VRJ6;F8WCM7","","+","",1.25,-2.51,-1.26
"B7Z596;F5H7S3","","+","+",0.42,-1.63,-1.21
"D9YZV8","","+","",0.65,-1.87,-1.22
"Q6ZN40","","+","+",-0.32,-0.98,-1.3
"P06753-2;Q5VU59;Q5VU61;Q8NAG3","+","+","",0.38,-0.71,-0.33
"P67936","+","","",0.61,-0.3,0.31
"O14773;B5MDC1;B4DSE2;O14773-2","+","","",-1.89,1.13,-0.76
"P12270","+","+","+",2.42,-1.42,1.01
"Q4KMQ1;Q4KMQ1-3;Q4KMQ1-2","+","","",0.82,-0.13,0.69
"P20231;Q15661;F8W8D0;Q15661-2","+","","+",-3.56,-0.96,-4.51
"P13693;Q8TBK7","","+","",-0.33,0.89,0.57
"Q9ULW0;Q96RR5","","+","+",1.19,2.56,3.75
"Q13595;B4DUA9;B4DQI6;Q13595-2","+","","+",1.14,-0.05,1.08
"P62995;E7EQD1;P62995-3","+","","+",1.65,-0.63,1.02
"A8MTK4;Q8TDR0;F5H014;Q8TDR0-2","+","","",1.44,-0.47,0.98
"O00463;F5H1P7","+","","+",1.19,0.38,1.57
"Q12931;F5H897","","","+",0.33,0.55,0.87
"P48553","","+","+",-0.38,-0.67,-1.05
"Q9Y296;E9PQE8;B4DME1;E9PKS9","+","","",-1.08,0.57,-0.51
"Q9Y2L5;E7ENW6;Q9Y2L5-2","+","","",-0.52,-0.11,-0.63
"O95361;O95361-2","+","+","",1.54,-1.51,0.03
"Q9C040","+","","+",0.89,0.31,1.2
"Q8IYM9;Q8IYM9-2;C9JIU5;F8WAP8;C9JWC5;F5GZK6;C9J060","+","+","",1.21,-1.32,-0.12
"O15164;O15164-2;B4DYZ9;C9JPT4;E7ES63","+","","+",1.42,0.25,1.68
"P14373;P14373-2;E7EMV4","","","+",0.45,0.74,1.19
"Q13263;Q13263-2","+","","+",0.89,0.42,1.32
"Q14134;Q14134-2","","","+",1.08,0.88,1.95
"O75382;E9PKS6;B7Z5Y8;O75382-2;F5H2Q8;E7EUK0;F5GX85;O75382-3","","+","+",0,-1.13,-1.14
"Q13049","","+","",0.23,-0.59,-0.37
"Q9UPN9;H0Y612;E7EN20","+","","",0.7,-0.31,0.39
"O00635","+","","",0.73,-0.57,0.16
"Q9C037;Q9C037-2;B4DEC5;Q9C037-3","","+","",0.15,-0.58,-0.43
"Q9BRZ2","","","+",0.59,0.23,0.82
"O75962;O75962-4;O75962-2;O75962-5;E7EWP2;E7EPJ7;F5H228","+","","",0.8,-0.5,0.3
"Q15643;F5H1Z0;H0YJ97","+","+","",1.1,-0.86,0.24
"Q14CA3;Q14669","","+","+",0.05,0.67,0.72
"Q15645","","+","+",0.63,1.43,2.06
"Q15650;H0YL91","+","+","",1.05,-0.89,0.17
"Q15654","+","","",1.52,-0.96,0.56
"Q9NXH9;Q9NXH9-2","+","","+",1.05,0.4,1.45
"Q7Z4G4;Q7Z4G4-2;F2Z2Q4;Q7Z4G4-3;Q5JY02","","+","+",0.22,1.62,1.84
"Q9UI30;F5GX77;F5GYQ2","","","+",0.52,0.79,1.32
"Q7Z2T5;Q7Z2T5-2","","+","+",0.23,0.69,0.92
"Q32P41","+","","",0.59,-0.12,0.47
"Q9UJA5;Q9UJA5-2;Q9UJA5-3;B4DUV6","","+","+",0.08,1.57,1.65
"Q96FX7;H0Y2Q1","","+","+",0.26,1.48,1.74
"Q96Q11;Q96Q11-2","+","","",0.71,-0.26,0.45
"Q8TD43;Q8TD43-3;Q8TD43-2;B4DIX5","+","+","+",-0.64,-1.75,-2.39
"F2Z2U4","+","","+",0.87,-0.2,0.67
"Q8WWH5","","","+",0.47,0.47,0.94
"Q8NCE0;Q8NCE0-2;B7Z355;Q8NCE0-3;C9IZI7;C9J7Z4;G5E9Q3","+","","",0.82,-0.09,0.73
"Q9BSV6;E7EQB3;A9C4B9;B0V3J0","","","+",-0.16,1.49,1.34
"P43897-2;P43897;F8W6R3;C9JT21;F8VS27;F5H2T7;F8VPA7;C9JG32","","+","",-0.19,0.69,0.51
"E9PGT1;Q15631;B7Z5D9","","+","",-0.32,0.7,0.38
"O95857","","+","+",-0.13,-1.46,-1.59
"Q8NG11;Q8NG11-2;A6NEP9;B4DHY6","+","+","",0.77,-0.7,0.07
"O95858","","+","+",0.07,-1.27,-1.2
"P19075;F8VWH2","","+","",0.45,-1.25,-0.8
"Q969E8","+","+","",-1.71,2.28,0.57
"Q16762;E7EN05","+","","",-0.97,0.07,-0.9
"Q8NBP0;E9PGV4;Q8NBP0-2","+","","",0.99,-0.4,0.58
"Q5TAA0","","","+",-0.87,-1.01,-1.89
"Q6P3X3","+","+","",1.61,-0.84,0.77
"Q86WT1;Q8N4P2;F5GX66","+","","+",2,-0.49,1.51
"Q5R3I4;E7ES35;A9UJP8","","+","",0.2,-1.01,-0.81
"Q5SRH9-4;G3XAF8;E7EQY9;D3DQ30;Q5SRH9;Q5SRH9-2","+","+","+",-1.14,-1.08,-2.22
"O95801;Q5TA95","+","+","",1.04,-0.85,0.2
"Q8N0Z6;H0Y6R6","+","","",1.73,-0.97,0.75
"O43156","","+","+",0.49,0.86,1.35
"Q14166;B1AH89","+","","",0.52,0.01,0.53
"Q5BVD1-3;Q5BVD1;Q5BVD1-2","","","+",0.02,-0.98,-0.96
"Q71U36;G3V1U9;Q13748;Q13748-2;Q6PEY2","","","+",0.84,1.63,2.46
"P07437;F8VW92;F8VYX6;Q5JP53;F8VUJ7;Q5ST81;E7EWR1;E7ENH1","+","","",0.83,-0.28,0.55
"Q13509;A8K854","","+","+",-1.01,2.55,1.54
"P04350;B4DJ43;B4DFH6","+","+","",-3.53,2.65,-0.89
"P68371","","+","",-0.37,0.5,0.13
"Q96CW5;Q96CW5-2;Q96CW5-3","","+","",-0.16,0.65,0.5
"Q9UGJ1;Q9UGJ1-2","+","+","",1.76,-1.09,0.67
"Q96RT7;Q96RT7-3;Q96RT7-2;E7EQL8","+","","",1.17,-0.31,0.86
"Q3B726","+","","+",0.95,0.37,1.32
"Q9NUQ3;Q9NUQ3-2","+","+","+",0.6,1.44,2.04
"O95881","+","+","",-0.71,0.86,0.15
"Q8NBS9;Q86UY0;B2RDM2","+","+","+",-1.25,-0.64,-1.88
"O14530;B7Z7A4;Q8TB70;B8ZZX4;F8WCJ3","","+","+",0.08,0.49,0.57
"Q16881","+","+","",-0.58,0.74,0.16
"Q9NNW7;D3YTF9;F5H2M2;F5H2V0;Q9NNW7-2;E7ENA2;F5H1L4;Q9NNW7-3;F6WBI2;Q9NNW7-4;E7EWK1","+","+","",0.73,-0.92,-0.19
"Q01081;Q701P4","","","+",0.46,0.74,1.2
"P26368;P26368-2","+","","+",0.81,0.42,1.22
"O15042;O15042-2;E7ET15;O15042-3;C9JB80","+","","+",0.92,0.09,1.01
"G3XAG2;H0YNH8;Q9BZF9;F5H2B9","+","+","",2.56,-2.46,0.09
"Q16222;Q16222-3;Q16222-2;B1AR80","","+","+",-0.61,-1.05,-1.66
"P22314;E7ERL1","+","+","+",-0.34,0.99,0.65
"Q9UBT2;B3KWB9","","+","+",0.18,0.96,1.14
"Q8TBC4;Q8TBC4-2;F8W8D4","","+","+",-0.01,0.78,0.76
"A0AVT1;A0AVT1-2","+","","+",0.48,0.04,0.52
"P41226","+","","+",-0.67,-0.46,-1.13
"Q8NBM4;Q8NBM4-2;Q8NBM4-3;Q8NBM4-4","","+","+",-0.26,1.19,0.93
"Q5T6F2;F5H2C8;E7EWG4;E7ESH1;F5H4D5;F5H2U4;A2A305","+","","",1.11,-0.3,0.8
"O00762;A6NP33;G3XAB7","","+","+",0.52,3.73,4.25
"P51668;Q9Y2X8;C9J9H9;H0YGA2","","+","",-0.29,2.29,2.01
"P61077-3;P61077;P61077-2;D6RA11","+","+","",-1.84,1.43,-0.42
"P62256;A4D1L6;C9JZY6;C9JZG9;C9J8Q9","","+","",-0.41,0.92,0.51
"P63279;B0QYN7","","+","",-0.65,1.21,0.57
"Q9Y385;F5GWD1","+","","+",-1.45,-0.22,-1.66
"P61086;B4DIZ2;D6RDM7;C9JGP1;P61086-2","+","","",-0.6,0.34,-0.26
"Q9C0C9","","","+",0.2,0.21,0.41
"Q712K3","","","+",0.31,0.34,0.65
"Q16763","","+","+",0.55,1.74,2.29
"Q9NPD8","","+","+",-0.02,1.81,1.79
"Q05086;F8W9C2;Q05086-3;Q05086-2","+","+","",0.61,-0.54,0.06
"Q15386","+","","",0.79,-0.05,0.74
"O14562;B3KW52","+","+","",-1.08,1.92,0.85
"O95164","","","+",-1.04,-0.15,-1.19
"Q8WVY7","","+","+",-0.1,0.62,0.52
"Q9UMX0;Q9UMX0-2","+","+","",-1.03,1.67,0.64
"Q9NRR5","","+","+",-0.32,1.13,0.81
"Q8N806;E9PCJ7;F5H1M5;H0YJY4","","+","",-0.63,0.68,0.04
"P17480","+","","+",1.21,-0.15,1.07
"Q9BZV1;Q9BZV1-2","","+","",0.14,-0.61,-0.47
"O94888;F5GYB1;C9JAT7","+","","+",0.79,0.55,1.34
"P09936;D6RBT8;D6R956;D6RE83;A6NLJ7;D6R974","+","","+",-4.9,0.87,-4.03
"Q9BZX2;B4DGD3","","","+",0.91,0.61,1.52
"F8WAC3;Q9NWZ5;B7Z8N2;Q9NWZ5-3;Q9NWZ5-2","","+","",-0.13,0.78,0.65
"P61960;H0Y614;P61960-2","+","","",-0.85,0.66,-0.19
"Q9NUQ7;D6RGX2;H0YA18","","+","",-0.74,0.78,0.04
"O60701;O60701-2;B4DN25","+","","+",-1.24,-0.66,-1.9
"Q16851;E7EUC7;C9JKD6","+","","+",-1.18,-0.2,-1.38
"Q9HAW9;Q9HAW7","+","","+",-3.21,-0.42,-3.63
"Q6UWM9;F5GY78","+","","+",-3.83,0.9,-2.93
"O75795","+","","+",-3.71,-0.75,-4.45
"Q96T88;F5GXG0;B5ME40","+","+","+",1.01,1.44,2.44
"Q96PU4;Q96PU4-2","+","","+",0.77,0.15,0.92
"P11172;B5LY68;P11172-2;E9PFD2;B5LY72","","","+",0.29,0.44,0.72
"A6NIH7","+","","",0.57,-0.2,0.37
"B1AM27;F8W8M9;O14795;F5GZ07","","+","+",0,-1.1,-1.11
"Q9H3U1-2;Q9H3U1","+","","",0.45,-0.35,0.09
"A4D2Q0;E9PHI4;O94901;E9PF23;O94901-5;E9PDU4;H0Y742;H0Y6N5;E7EP45","+","","",0.73,-0.38,0.35
"B0QY62;Q9UH99","","+","",0.65,-0.9,-0.25
"Q92900-2;Q92900","","+","+",0.13,0.4,0.53
"Q9HAU5","+","","",0.56,0.01,0.57
"Q9NVA1;Q9NVA1-2;Q9NVA1-4;B1AKV3;B1AKV6;B1AKV5;B7Z314;B1AKV2;B1AKV4","","+","+",0.5,0.94,1.44
"P22695","+","","",-1.24,0.43,-0.82
"O14949","+","","",-1.73,0.61,-1.12
