"UniProt Accession","Primary Gene","LoS log2 FC","HiS log2 FC","LoT log2 FC","HiT log2 FC","Signif. LoS","Signif. HiS","Signif. LoT","Signif. HiT"
D4GVR5,tsgB3,-0.735,0.541,0.499,-1.864,0,0,0,1
D4GVR7,tsgA3,-0.338,-0.073,0.148,-0.634,1,0,0,1
D4GVS1,priS,-0.195,0.018,-0.006,-0.425,0,0,0,1
D4GVS4,HVO_1079,0.109,1.216,1.028,-1.18,0,1,1,1
D4GVT3,purB,0.398,0.373,0.854,-0.681,0,1,1,1
D4GVU6,HVO_2230,-0.658,-0.608,0.346,-2.263,1,1,1,1
D4GVW9,HVO_2253,-0.761,0.716,-0.126,-0.794,1,1,0,1
D4GVX9,HVO_2263,-0.362,1.104,1.136,-1.499,1,1,1,1
D4GVY6,rmeM,-0.306,0.675,0.07,-0.752,0,1,0,1
D4GVY7,rmeS,-0.281,0.831,0.4,-0.527,0,1,0,1
D4GW15,rnp3,0.666,0.201,0.125,-0.274,1,0,0,0
D4GW22,lysA,-0.765,0.761,0.502,-0.762,1,1,0,1
D4GW43,purF,0.49,0.458,1.127,-0.689,0,0,1,1
D4GW49,rnj,-0.223,0.395,0.49,-0.059,1,1,1,0
D4GW73,tmcA,0.553,0.334,0.321,-0.27,1,0,0,0
D4GW81,rpl24e,-0.643,-0.421,-0.352,-1.663,1,1,1,1
D4GW86,HVO_1134,0.128,0.424,0.026,-0.301,0,1,0,1
D4GW90,metE1,0.051,0.031,0.542,-1.385,0,0,1,1
D4GW93,fdfT,-0.717,0.272,-0.334,-2.173,1,1,1,1
D4GW95,metE2,-0.236,-0.311,0.307,-1.118,0,1,1,1
D4GW99,HVO_1142,-0,0.21,0.161,-1.062,0,0,0,1
D4GWA5,rps1e,-0.229,-0.139,-0.02,-1.114,1,1,0,1
D4GWA6,rpl21e,-0.235,-0.293,-0.072,-1.368,1,1,0,1
D4GWB0,recJ2,-0.467,-0.378,0.059,-1.349,1,1,0,1
D4GWF3,uppS1,0.136,0.512,0.247,-0.838,0,0,0,1
D4GWG6,tif5A,0.184,0.876,1.013,0.071,0,1,1,0
D4GWK9,carB,0.046,1.909,1.496,-1.814,0,1,1,1
D4GWM0,HVO_2372,-0.735,-0.311,-0.105,-1.763,1,1,0,1
D4GWP5,znuC1,1.108,1.286,1.5,-0.201,1,0,1,0
D4GWP8,gcv,0.088,0.741,1.407,-0.977,0,1,1,1
D4GWP9,gcv,0.328,0.87,1.708,-0.628,1,1,1,1
D4GWR5,HVO_2418,-0.062,0.14,0.762,-0.12,0,0,1,0
D4GWS6,HVO_1175,0.08,-0.206,0.154,-0.514,0,1,1,1
D4GWS7,HVO_1176,0.042,0.062,0.544,-0.242,0,0,1,0
D4GWT1,HVO_2759,-0.209,-0.319,0.054,-0.607,1,1,0,1
D4GWT4,phoU1,-0.211,-0.373,-0.344,-0.594,1,1,1,1
D4GWU7,aldH2,-0.152,0.77,0.146,-0.838,1,1,1,1
D4GWU9,fadM2,-0.063,-0.391,0.045,-0.503,0,0,0,1
D4GWV3,lhr1,0.036,0.465,0.685,-0.259,0,0,1,0
D4GWV5,dna2,-0.306,-0.082,0.925,-1.204,0,0,1,1
D4GWX8,HVO_1208,-0.156,-0.13,0.078,-1.978,0,0,0,1
D4GWY3,rpl18e,0.388,0.483,0.632,-0.632,1,1,1,1
D4GWZ1,rps11,0.15,0.324,0.422,-0.748,1,1,1,1
D4GWZ3,rps4,-0.071,-0.02,0.512,-0.609,0,0,1,1
D4GX06,uraA1,-0.465,1.475,1.119,-1.193,0,1,1,1
D4GX33,HVO_1238,0.67,1.081,0.223,-0.624,1,1,1,1
D4GX38,sdhA,0.126,-0.062,0.435,-0.536,1,0,1,1
D4GX40,sdhB,-0.264,-0.713,-0.181,-0.933,1,1,1,1
D4GX41,sdhD,-0.814,-1.287,-0.764,-1.807,0,1,1,1
D4GX45,HVO_2812,-0.645,-0.028,0.397,-1.435,1,0,1,1
D4GX49,HVO_2813,0.098,0.59,0.929,-0.291,0,1,1,1
D4GX77,HVO_1263,-0.55,0.633,-0.436,-0.864,0,1,0,1
D4GXD0,HVO_1291,0.092,0.353,-0.249,-0.912,0,0,0,1
D4GXD2,HVO_2850,0.156,0.304,1.218,-1.217,0,0,1,1
D4GXD7,HVO_2852,-0.705,-0.243,-0.606,-2.275,1,0,1,1
D4GXF0,suhB1,-0.45,-0.154,0.071,-1.237,1,1,0,1
D4GXF8,HVO_2860,-0.664,0.402,0.902,-1.436,1,1,1,1
D4GXI3,aroK,-0.922,0.222,-0.408,-1.886,0,0,0,1
D4GXJ0,HVO_2874,-0.156,0.24,-0.43,-0.833,0,0,0,1
D4GXJ9,HVO_1332,-0.132,0.652,0.289,-0.46,0,1,1,1
D4GXL4,HVO_2886,1.025,0.24,2.067,-1.514,1,0,1,1
D4GXL7,elp3,-0.156,-0.066,0.004,-0.821,0,0,0,1
D4GXM0,HVO_2889,0.404,0.224,0.747,-0.83,1,1,1,1
D4GXM5,HVO_2892A,-0.773,-1.027,-0.473,-1.322,1,1,1,1
D4GXM7,moaC,-1.065,-1.013,-1.124,-1.965,0,0,1,1
D4GXN3,rad3a,-0.106,-0.452,-0.231,-1.118,0,0,0,1
D4GXN8,HVO_2897,-0.601,-0.782,-0.335,-0.942,1,1,0,1
D4GXP4,HVO_1357,-0.152,0.288,-0.03,-0.584,0,0,0,1
D4GXQ9,HVO_1365,0.702,0.783,0.797,-1.4,0,0,0,1
D4GXR7,phr2,-0.841,0.042,0.776,-1.08,1,0,1,1
D4GXS7,acs4,-0.421,0.027,1.003,-1.463,1,0,1,1
D4GXT7,HVO_2921,-0.361,-0.1,-0.156,-1.727,0,0,0,1
D4GXU5,trmI,-0.294,-0.015,0.629,-0.826,1,0,1,1
D4GXV2,fadA1,-0.539,-0.617,-0.373,-1.09,1,1,1,1
D4GXV7,HVO_2930,-0.002,-0.565,0.457,-2.116,0,1,1,1
D4GXW1,HVO_2932,0.37,-0.242,0.967,-2.574,1,1,1,1
D4GXW2,HVO_1393,-0.648,0.091,-0.276,-1.565,1,0,1,1
D4GXW9,HVO_1396,-0.309,-0.268,-0.027,-0.832,1,1,0,1
D4GXX2,tsgD11,0.043,0.128,-0.022,-1.814,0,0,0,1
D4GXZ3,mvaD,-0.217,-0.18,0.048,-0.817,0,1,0,1
D4GY03,HVO_1419,-0.055,-0.673,-0.687,-2.092,0,1,1,1
D4GY14,HVO_1425,-0.526,-0.773,0.055,-2.469,1,1,0,1
D4GY38,thrC3,-0.19,0.076,0.383,-0.726,1,0,1,1
D4GY53,arsA2,-0.267,-0.118,0.533,-0.785,0,0,1,1
D4GY56,pccB1,-0.425,-0.133,0.55,-0.949,1,0,1,1
D4GY61,maoC1,-0.576,0.401,1.458,-1.685,0,0,1,1
D4GY63,gdhA1,-0.499,0.685,0.81,-2.382,1,1,1,1
D4GY81,HVO_1459,0.98,0.762,0.934,-2.057,1,0,1,1
D4GY84,menC,-0.485,-0.51,-0.103,-1.01,0,0,0,1
D4GYA3,HVO_3002,0.178,0.297,0.629,-0.616,0,1,1,1
D4GYA5,HVO_1471,0.06,-0.117,-0.047,-1.189,0,0,0,1
D4GYA8,HVO_1473,0.001,-0.347,-0.077,-1.245,0,1,0,1
D4GYB8,HVO_1479,0.247,-0.195,-0.035,-0.85,0,0,0,1
D4GYC0,HVO_1480,-0.417,-0.621,0.015,-1.459,1,1,0,1
D4GYC7,oapB,0.121,-0.035,0.768,-0.763,0,0,1,1
D4GYD4,gnaD,0.369,0.011,0.048,-0.776,1,0,0,1
D4GYE9,leuD1,0.218,-0.264,-0.23,-1.085,0,0,0,1
D4GYG5,agl,-0.125,-0.084,-0.156,-0.76,0,0,0,1
D4GYG6,aglQ,-0.642,0.065,0.46,-0.735,1,0,1,1
D4GYH1,aglF,-0.137,0.192,0.519,-0.677,0,0,1,1
D4GYH2,aglI,-0.544,-0.11,0.004,-1.803,1,0,0,1
D4GYH4,aglB,0.269,0.609,0.051,-0.916,1,1,0,1
D4GYH6,HVO_1532,-0.642,-0.856,-0.366,-1.504,0,0,0,1
D4GYI2,glpA1,-0.272,-0.399,-0.319,-1.135,1,1,1,1
D4GYI3,glpB1,-0.024,-0.396,-0.192,-0.958,0,1,1,1
D4GYI4,glpC1,0.115,-0.396,-0.003,-1.354,0,1,0,1
D4GYI5,glpK,-0.183,-0.267,-0.065,-0.947,1,1,0,1
D4GYK7,purO,-0.266,-0.146,0.91,-0.92,1,0,1,1
D4GYN4,rad3b,-1.094,-0.914,0.002,-1.032,1,1,0,1
D4GYN7,argE,-1.375,-1.589,-0.762,-2.096,1,1,1,1
D4GYP4,argG,0.378,-0.222,0.772,-1.121,1,0,1,1
D4GYP9,glyS,-0.04,-0.242,0.16,-0.84,0,1,1,1
D4GYQ6,dppB1,-0.28,-0.672,-0.496,-1.154,0,1,1,1
D4GYR0,polD2,-0.487,-0.839,-0.333,-1.44,1,1,0,1
D4GYV9,HVO_0113,-0.995,-1.519,-0.771,-2.148,0,1,0,1
D4GYW4,rpl20e,-0.317,-0.355,0.181,-0.768,1,1,1,1
D4GYW8,serA1,-0.698,0.594,-0.173,-1.024,1,1,1,1
D4GYY3,traB,0.079,0.049,0.334,-0.587,0,0,0,1
D4GYY6,purM,-0.006,0.419,0.7,-0.358,0,1,1,1
D4GYY7,cyc2,-0.063,-0.397,0.317,-1.879,0,0,0,1
D4GYZ6,HVO_1567,-1.396,0.227,0.209,-1.736,1,0,0,1
D4GZ23,cna,-0.572,-0.548,-0.359,-1.62,1,1,1,1
D4GZ26,HVO_1597,-0.773,-1.212,-0.689,-1.695,1,1,0,1
D4GZ30,ssuB,-0.082,-0.534,1.325,-1.505,0,0,1,1
D4GZ43,HVO_1614,-0.079,-0.034,0.648,-1.22,0,0,1,1
D4GZ49,HVO_1620,0.505,0.594,-0.039,-0.371,0,1,0,0
D4GZ53,HVO_1623,0.153,-0.156,-0.491,-1.329,0,0,1,1
D4GZ60,dph2,-0.868,-0.996,-0.43,-1.755,1,1,1,1
D4GZ77,mat,0.068,-0.265,0.141,-1.212,0,1,1,1
D4GZ87,phzF2,-0.47,0.363,1.439,-1.18,0,0,1,1
D4GZ88,rnz,0.13,-0.047,-0.05,-0.4,0,0,0,1
D4GZ89,rfcC,-0.251,-0.518,-0.326,-0.69,0,1,0,1
D4GZA0,trmG10,0.054,-0.491,0.068,-0.6,0,0,0,1
D4GZA9,mtaD,0.042,-0.316,0.09,-0.559,0,1,0,1
D4GZB8,HVO_0174,0.426,-0.339,0.1,-0.784,1,1,0,1
D4GZF1,alaS1,-0.18,-0.017,-0.197,-0.491,1,0,1,1
D4GZF2,HVO_0207,-0.11,-0.027,0.273,-0.634,0,0,0,1
D4GZF3,guaAa2,0,0.293,0.394,-0.891,0,0,1,1
D4GZF4,acd1,0.119,0.183,0.31,-0.362,0,0,1,1
D4GZG0,HVO_0215,0.238,-0.129,1.039,-0.901,0,0,1,1
D4GZG9,HVO_0224,0.042,0.042,-0.097,-3.362,0,0,0,1
D4GZH3,HVO_0228,1.033,0.504,0.691,-0.829,1,0,1,1
D4GZH4,HVO_0229,-0.564,-1.34,-1.239,-2.619,0,1,1,1
D4GZI1,trm1,0.23,-0.957,0.239,-1.176,1,1,1,1
D4GZI8,ltaE,0.314,-0.528,-0.045,-0.888,1,1,0,1
D4GZL6,thiI,0.003,-0.289,0.319,-0.712,0,0,0,1
D4GZL9,cysK2,0.054,0.153,0.234,-0.709,0,0,0,1
D4GZM2,purD,-0.478,-0.173,-0.028,-1.236,1,0,0,1
D4GZN3,fib,-0.088,-0.647,0.162,-0.774,0,1,1,1
D4GZP3,HVO_1679,0.165,-1.28,-0.242,-1.451,0,1,0,1
D4GZP7,malQ,-0.327,-0.522,-0.665,-1.042,1,1,1,1
D4GZP8,thrS,0.144,-0.1,-0.019,-0.533,1,0,0,1
D4GZS9,HVO_0300,-0.123,-0.251,0.853,-1.632,0,0,1,1
D4GZT2,idsA2,-0.239,-0.583,-0.132,-1.093,1,1,0,1
D4GZU0,atpI,-0.248,0.033,0.118,-0.623,1,0,0,1
D4GZV9,HVO_0330,-1.371,-0.796,-0.792,-2.707,1,1,1,1
D4GZW3,apt2,-0.467,-0.17,-0.403,-1.144,1,0,1,1
D4GZW4,uraA3,-0.129,0.216,-0.555,-2.183,0,0,0,1
D4GZW8,tiaS,-0.421,-0.615,-0.001,-1.132,0,1,0,1
D4GZX9,rps12,-0.536,-1.394,-0.388,-1.353,1,1,1,1
D4GZY1,rps7,-0.316,-0.744,-0.143,-1.045,1,1,0,1
D4GZY3,tef2,-0.308,-0.203,-0.209,-1.103,1,1,1,1
D4GZY7,rps10a,-0.24,-0.728,-0.146,-0.945,1,1,1,1
D4H031,HVO_0405,0.082,-0.302,0.571,-0.722,0,0,1,1
D4H043,HVO_1698,0.957,0.782,0.315,-0.192,1,1,0,0
D4H049,HVO_1704,-0.763,-0.415,-1.004,-2.23,1,1,1,1
D4H056,sga1,0.064,-0.061,0.307,-0.257,0,0,1,0
D4H069,orc5,0.047,-0.154,0.004,-0.644,0,0,0,1
D4H084,HVO_1745,0.6,0.178,-0.268,-1.25,1,1,1,1
D4H088,HVO_1749,1.101,0.484,-0.31,-4.918,1,0,0,1
D4H0B6,HVO_C0028,0.977,1.319,-0.369,-1.831,1,1,0,1
D4H0D0,HVO_C0042,-0.595,0.359,0.579,-0.971,1,0,1,1
D4H0D2,HVO_C0044,0.658,0.045,0.209,-1.029,0,0,0,1
D4H0E9,HVO_C0067,0.188,1.159,1.038,-1.622,0,1,1,1
D4H0F1,HVO_C0069,1.003,1.057,0.721,-0.816,1,1,0,1
D4H0F6,dppDF16,0.367,-0.06,0.606,-1.238,0,0,1,1
D4H0F7,dppA16,-0.928,1.44,0.562,-0.536,1,1,1,0
P15093,hdrA,0.272,0.583,0.119,0.071,0,1,0,0
P25062,csg,-0.4,-0.761,-1.102,-3.117,0,1,1,1
P41198,rpl10,-0.007,0.256,0.368,-0.677,0,1,1,1
P50563,rpl18,-0.066,0.205,0.371,-0.752,0,1,1,1
Q1XBW0,HVO_1588,-0.94,-0.464,-0.552,-1.467,1,0,1,1
Q48329,atpE,-0.125,-0.089,0.031,-0.461,1,0,0,1
Q48330,atpC,-0.333,0.05,-0.053,-0.671,1,0,0,1
Q59468,hmgA,-0.445,-0.253,-0.248,-0.805,1,0,1,1
Q7ZAG7,leuC1,0.748,0.319,-0.05,-1.087,1,0,0,1
Q977V2,srp54,-0.152,0.458,0.057,-0.505,0,1,0,1
Q977V3,secY1,-0.424,-0.238,-0.519,-1.396,1,0,1,1
NA,HVO_A0416,-1.38,-1.548,-1.153,-2.689,1,1,1,1
A0A1C9J6V6,HVO_1792A,0.169,-0.824,0.258,1.108,0,0,0,1
D4GP03,HVO_B0002,-0.865,-0.906,0.22,-0.23,1,0,0,0
D4GP17,HVO_B0016,1.707,-1.765,0.73,1.495,1,1,1,1
D4GP55,HVO_B0053,0.585,-1.282,1.025,0.28,1,1,1,0
D4GP78,hyuA4,0.11,-0.049,2.344,0.553,0,0,1,1
D4GP84,dppA11,0.354,-0.646,2.113,0.465,1,1,1,1
D4GPB8,HVO_B0117,-0.084,-0.837,0.298,0.349,0,1,1,1
D4GPL4,HVO_B0213,0.393,0.172,2.505,1.099,0,0,1,0
D4GPZ9,HVO_B0352,0.578,-0.423,1.82,0.932,0,1,1,1
D4GQ53,HVO_A0021,-0.444,-1.286,-0.758,-0.403,1,1,1,1
D4GQ59,HVO_A0027,-0.251,-1.335,-0.295,-0.172,0,1,0,0
D4GQG0,HVO_A0129,-0.076,-1.319,-0.273,0.284,0,1,1,1
D4GQI9,HVO_A0160,-0.901,-1.379,-0.709,-0.303,1,1,1,1
D4GQL8,HVO_A0189,-0.643,-2.16,-0.627,-0.454,0,1,1,1
D4GQS2,HVO_A0243,-1.504,-3.564,-1.376,-1.746,1,1,0,1
D4GR60,HVO_A0394,-0.417,-1.993,0.093,0.141,0,1,0,0
D4GR94,HVO_A0429A,-0.184,-0.536,1.588,1.637,0,0,1,1
D4GRC4,HVO_A0459,-0.022,-1.498,0.009,0.347,0,1,0,0
D4GRD4,HVO_A0469,-0.467,-2.458,-0.64,0.913,0,1,1,1
D4GRM5,HVO_A0564,-0.502,-1.861,-0.872,0.724,1,1,1,1
D4GRU1,pilA6,0.582,-1.039,-0.679,0.524,0,1,1,0
D4GRU8,HVO_0407,-0.189,-1.294,-0.384,0.264,1,1,1,1
D4GRX6,hisE,-0.229,-1.954,-0.54,0.026,0,1,1,0
D4GS31,HVO_0491,-0.208,-0.598,-0.314,0.026,1,1,1,0
D4GS78,HVO_1753,-0.474,-1.44,-0.873,-0.597,1,1,1,1
D4GSG7,lpl,0.105,-1.306,0.074,-0.046,0,1,0,0
D4GSH0,HVO_2421,0.156,-0.274,0.208,0.121,0,0,1,0
D4GSR1,pfdB,1.459,0.52,2.94,2.466,1,0,1,1
D4GSR2,pcc1,-0.109,-0.555,-0.106,-0.018,0,1,0,0
D4GSR3,rpo,-0.681,-2.628,-0.576,-0.843,1,1,1,1
D4GSR9,pth,0.411,-0.532,1.036,0.732,0,0,1,1
D4GSS6,dsa2,0.132,-1.576,-0.561,1.623,0,1,0,1
D4GSS8,HVO_1820,0.012,-1.39,-0.365,1.273,0,1,1,1
D4GSV1,HVO_1848A,1.412,-0.02,0.84,0.852,1,0,0,1
D4GSW0,HVO_1857,-0.629,-2.734,-0.952,0.142,1,1,1,0
D4GT06,HVO_0674,0.268,-1.184,0.067,0.208,0,1,0,1
D4GT97,ipp,0.206,-1.286,-0.075,0.435,0,1,0,1
D4GTB1,HVO_0738,-0.963,-3.253,-0.215,-1.294,1,1,1,1
D4GTB6,HVO_0742,0.219,-0.978,0.178,0.135,0,1,0,0
D4GTD0,HVO_1897,-0.341,-0.817,-0.197,-0.438,1,1,1,1
D4GTF5,HVO_1926,-0.491,-1.575,-1.344,1.211,0,1,1,1
D4GTH5,tif1a,0.135,-0.41,1.458,0.865,0,1,1,1
D4GTH8,HVO_1949,0.104,0.201,0.921,0.377,0,0,1,0
D4GTH9,HVO_1950,-0.529,-1.844,-1.245,0.526,0,1,1,1
D4GTJ2,tif5B,-0.223,-0.672,-0.159,-0.111,1,1,1,0
D4GTN8,HVO_2010,-1.129,-2.859,-1.037,-0.753,1,1,1,1
D4GTN9,HVO_2011,-0.007,-1.345,-0.281,0.39,0,1,1,1
D4GTQ0,cmk,0.011,-0.48,0.652,0.038,0,1,1,0
D4GTQ1,HVO_0758,0.269,-0.944,0.804,0.227,0,1,1,0
D4GTQ6,adk1,-0.233,-1.955,-0.777,-0.14,1,1,1,0
D4GTQ7,HVO_0762,-0.279,-2.473,-0.816,-0.033,0,1,1,0
D4GTR1,HVO_2498,-0.196,-0.357,-0.086,0.02,1,1,0,0
D4GTR9,HVO_0769,-0.413,-1.789,-1.331,0.306,1,1,1,1
D4GTU6,cmi2,-0.881,-2.277,-0.29,0.25,1,1,1,1
D4GTW9,HVO_2537,-0.127,-1.961,0.465,1.324,0,1,1,1
D4GU80,HVO_2067,-0.094,-0.619,0.05,0.691,0,1,0,1
D4GU97,ansA,-0.355,-1.651,-0.266,-0.012,1,1,1,0
D4GUC0,hit2,0.41,-0.813,-0.081,0.668,1,1,0,1
D4GUD4,HVO_0815,-0.672,-1.075,-0.654,0.28,1,1,1,0
D4GUE2,sirR,0.769,-1.421,0.38,0.464,1,1,1,1
D4GUH0,HVO_2626,-0.173,-0.403,1.088,0.758,0,1,1,1
D4GUI4,HVO_2630,-0.224,-0.892,-0.143,-0.091,0,1,0,0
D4GUL0,HVO_0863,-0.143,-1.871,0.052,-0.045,0,1,0,0
D4GUM5,nthB,-0.708,-1.168,-0.606,-0.274,1,1,1,0
D4GV53,HVO_2676,0.236,0.008,0.801,0.681,0,0,1,1
D4GV54,HVO_2677,-0.541,-1.375,-0.457,0.052,1,1,1,0
D4GVB0,samp3,-0.296,-1.708,0.067,0.574,0,1,0,0
D4GVI8,HVO_1011,-1.3,-1.658,-0.413,0.364,1,1,0,0
D4GVK0,HVO_1023,-0.554,-1.381,-0.519,0.548,1,1,1,1
D4GVM5,HVO_1049,0.004,-1.636,-0.401,-0.26,0,1,1,1
D4GVM9,gatC,-0.176,-1.264,0.889,1.383,0,1,1,1
D4GVU1,HVO_2225,-0.308,-0.138,0.222,0.412,1,0,1,1
D4GVY1,HVO_2265,0.071,-0.936,0.603,0.231,0,1,1,0
D4GW09,rpc34,-0.669,-2.213,-0.315,-0.121,1,1,0,0
D4GW27,HVO_2714,0.269,-1.163,-0.309,1.474,0,1,1,1
D4GW29,HVO_2715,0.273,-0.972,-0.026,0.814,0,1,0,1
D4GW38,HVO_2718,-1.056,-1.783,-0.764,-0.976,1,1,1,1
D4GW47,lsm,-0.684,-1.262,-0.389,-0.28,1,1,1,1
D4GW85,HVO_1133,0.198,-1.163,1.222,0.229,0,1,1,0
D4GW96,prmC,-1.038,-1.449,-0.755,-0.126,1,1,1,0
D4GWA3,rpoF,-0.29,-2.903,0.11,-0.245,1,1,1,1
D4GWB1,tef1b,1.016,2.279,4.752,4.393,0,1,1,1
D4GWK7,HVO_2359,-0.858,-0.978,0.001,0.849,0,1,0,0
D4GWL9,HVO_2371,-0.45,-1.023,-0.755,-0.109,1,1,1,0
D4GWS1,HVO_1170,-0.603,-2.5,-0.574,0.256,1,1,1,1
D4GWS5,tfeA,0.252,-0.38,0.23,0.417,0,1,0,1
D4GX80,HVO_1265,-0.842,-1.879,-1.121,-0.235,1,1,1,0
D4GXA4,HVO_1278,-0.917,-1.443,-0.871,-0.068,1,1,1,0
D4GXB0,HVO_1282,-0.625,-1.36,-0.007,-0.329,1,1,0,1
D4GXD5,HVO_2851,0.143,-1.045,0.423,0.365,0,1,1,0
D4GXF3,HVO_2858,-0.101,-0.341,-0.154,0.33,0,1,1,1
D4GXH1,HVO_2866,0.268,-0.725,-0.064,1.552,0,0,0,1
D4GXH6,HVO_2869,-0.297,-1.282,0.196,0.894,0,1,0,1
D4GXI0,aroQ,-0.42,-2.108,-0.677,-0.062,1,1,1,0
D4GXI4,HVO_1324,-0.271,-1.679,-0.302,-0.122,1,1,1,1
D4GXJ1,HVO_2875,-1.585,-1.512,-0.968,-0.119,1,1,0,0
D4GXP3,bolA,0.461,-1.997,1.195,0.747,1,1,1,1
D4GXP7,HVO_1358,-0.381,-0.669,-0.404,0.122,1,1,1,0
D4GXQ1,HVO_1360,-0.605,-1.473,-0.675,-0.486,1,1,1,1
D4GXQ6,maoC3,-0.809,-1.384,-0.306,0.33,1,1,0,0
D4GXU1,HVO_2922,-0.821,-2.93,-0.943,-0.859,1,1,1,1
D4GXV3,HVO_1388,-0.524,-1.193,-0.459,-0.249,1,1,1,1
D4GY41,HVO_2970,0.066,-1.963,-0.066,1.196,0,1,0,1
D4GY43,HVO_2971,-0.961,-1.571,-0.429,0.861,1,1,1,1
D4GY67,citE,-0.369,-1.367,0.148,0.009,0,1,0,0
D4GY68,HVO_2985,-1.15,-2.098,-0.115,0.536,1,1,0,1
D4GY74,hisA,-0.273,-0.627,-0.288,0.166,1,1,1,1
D4GY83,hisI,-0.509,-0.685,0.765,0.75,0,0,1,1
D4GYA6,HVO_1472,1.557,0.034,1.579,1.153,1,0,1,1
D4GYB7,HVO_3008,0.022,-1.86,0.042,1.524,0,1,0,1
D4GYC2,hef,-0.064,-0.421,0.078,0.7,0,1,0,1
D4GYD7,HVO_1491,-0.084,-0.077,0.194,0.284,0,0,1,1
D4GYD9,HVO_1493,0.218,-2.192,-0.511,1.308,0,1,0,1
D4GYE3,ptsH1,-0.097,-0.511,-0.142,-0.243,0,1,0,0
D4GYE4,ptfA,-0.584,-1.607,-0.695,0.429,1,1,1,1
D4GYF3,ilvN,-0.27,-1.516,-0.711,-0.137,0,1,1,0
D4GYF8,HVO_1512,-0.496,-1.194,-0.404,0.034,0,1,0,0
D4GYG1,HVO_1515,-0.56,-3.204,-0.429,-0.2,1,1,1,0
D4GYI7,ptsH2,-0.199,-0.352,1.801,1.967,0,0,1,1
D4GYL0,ferC,0.098,-1.008,0.395,0.322,0,1,1,0
D4GYM2,HVO_0027,1.214,0.384,1.576,1.667,1,1,1,1
D4GYM3,HVO_0028,-0.643,-2.587,-0.541,0.779,1,1,1,1
D4GYP7,HVO_0052,0.007,-1.322,-0.281,0.67,0,1,0,1
D4GYQ1,HVO_0056,-0.095,-0.367,0.19,0.298,0,1,0,1
D4GYQ9,HVO_0064,0.467,0.035,0.402,0.589,0,0,0,1
D4GYR3,panE,-0.181,-0.68,-0.461,0.148,0,1,1,0
D4GYR6,HVO_0071,-0.234,-2.549,-0.226,-0.47,0,1,0,1
D4GYS3,hemC,0.947,0.547,1.571,0.917,1,1,1,1
D4GYS8,HVO_0083,-0.54,-1.91,-0.457,-0.354,1,1,1,1
D4GYW5,pfdA,-0.314,-1.98,0.444,0.296,1,1,1,1
D4GYX4,coaE,0.093,-1.213,0.623,0.635,0,1,1,1
D4GZ01,gyrB,0.184,-0.088,0.339,0.163,1,0,1,1
D4GZ03,HVO_1574,-0.234,-2.175,-0.592,0.075,0,1,1,0
D4GZ06,HVO_1577,-0.655,-1.176,-0.744,0.672,1,1,1,1
D4GZ32,ssuA,0.887,0.653,1.838,1.184,1,1,1,1
D4GZA7,HVO_0163,-0.08,-0.431,0.062,-0.058,0,1,0,0
D4GZB4,hjc,-0.756,-1.495,-0.855,-0.529,1,1,1,1
D4GZF7,HVO_0212,0.174,-1.785,0.197,1.3,0,1,0,1
D4GZG4,cmi4,0.986,0.11,1.36,1.747,0,0,1,1
D4GZM0,trxA7,-0.63,-1.435,-0.561,-0.989,1,1,1,1
D4GZN1,HVO_1667,0.05,-1.449,0.166,0.147,0,1,0,0
D4GZR9,HVO_0290,-0.298,-1.55,-0.303,0.188,0,1,0,0
D4GZS0,rpap3,-0.204,-1.944,0.108,0.599,1,1,0,1
D4GZS6,tfx,-0.641,-1.444,-0.916,0.418,1,1,1,1
D4GZS7,HVO_0298,-1.008,-1.463,0.493,0.131,1,1,1,0
D4GZT8,menG,0.196,-0.442,0.105,0.247,1,1,0,1
D4GZU8,atpD1,0.683,-1.181,0.208,0.214,1,1,0,0
D4GZX3,rpoH,1.05,-1.599,1.38,1.235,1,1,1,1
D4H006,HVO_0380,-0.865,-3.093,-0.924,-0.554,1,1,1,1
D4H016,HVO_0390,-0.295,-0.644,-0.527,0.055,1,1,1,0
D4H025,HVO_0399,-0.959,-2.74,-0.474,-0.818,1,1,1,1
D4H026,HVO_0400,0.152,-2.055,-0.281,-0.143,0,1,1,0
D4H027,HVO_0401,0.219,-0.037,1.693,1.099,0,0,1,1
D4H036,HVO_1691,-0.48,-0.525,-0.066,-0.065,1,1,0,0
D4H048,hel2,-0.402,-0.876,-0.421,0.042,0,1,0,0
D4H062,queE,-1.093,-2.029,-0.348,-0.753,1,1,0,1
D4H063,queD,0.884,-1.175,-0.013,-0.047,1,1,0,0
D4H072,HVO_1733,0.252,-1.471,0.01,0.568,0,1,0,1
D4H073,HVO_1734,-0.61,-1.173,-0.745,-0.221,1,1,1,0
D4H093,HVO_C0002,0.543,-2.151,0.28,0.029,1,1,0,0
D4H0A3,HVO_C0012,0.197,-1.343,-0.11,0.181,0,1,0,0
D4H0B7,HVO_C0029,0.212,-1.013,-1.675,0.034,0,0,1,0
D4H0D9,HVO_C0051,-0.463,-1.03,-0.579,0.112,1,1,1,0
L9V9K4,HVO_2057A,0.398,0.011,0.748,0.653,0,0,1,1
L9VGF7,HVO_B0153B,0.091,-0.855,0.591,0.832,0,1,1,1
P41200,rpl11,0.725,0.235,1.786,0.689,1,0,1,1
Q1XBW1,dnaJ,0.107,-1.217,0.201,0.718,0,1,1,1
